ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000988.SZ,20250630,46.76,47.46,46.63,47.01,46.33,0.68,1.4677,247742.65,1164613.839
000988.SZ,20250701,47.0,47.0,46.21,46.46,47.01,-0.55,-1.17,188429.03,876166.229
000988.SZ,20250702,46.3,46.39,45.11,45.27,46.46,-1.19,-2.5613,222190.58,1013057.385
000988.SZ,20250703,45.47,45.96,45.42,45.79,45.27,0.52,1.1487,153499.96,701905.237
000988.SZ,20250704,45.66,46.1,45.03,45.15,45.79,-0.64,-1.3977,183940.45,834399.315
000988.SZ,20250707,45.0,45.25,44.0,44.47,45.15,-0.68,-1.5061,175644.62,780258.933
000988.SZ,20250708,44.53,45.15,44.31,44.93,44.47,0.46,1.0344,368629.93,1652741.565
000988.SZ,20250709,46.56,48.29,46.33,47.32,44.93,2.39,5.3194,621634.77,2954337.542
000988.SZ,20250710,47.78,47.78,46.5,47.18,47.32,-0.14,-0.2959,277107.32,1303957.13
000988.SZ,20250711,47.0,47.18,46.3,46.34,47.18,-0.84,-1.7804,258516.0,1205337.743
000988.SZ,20250714,46.33,46.58,45.8,45.94,46.34,-0.4,-0.8632,189862.56,875008.218
000988.SZ,20250715,46.19,48.66,46.17,48.27,45.94,2.33,5.0718,562974.16,2693814.976
000988.SZ,20250716,48.27,49.09,47.65,47.7,48.27,-0.57,-1.1809,386980.63,1875331.631
000988.SZ,20250717,47.7,50.5,47.59,49.55,47.7,1.85,3.8784,458184.14,2261227.703
000988.SZ,20250718,49.75,50.2,48.69,48.82,49.55,-0.73,-1.4733,286747.14,1412158.285
000988.SZ,20250721,48.51,48.82,47.72,48.17,48.82,-0.65,-1.3314,299113.51,1440895.939
000988.SZ,20250722,48.2,50.44,48.08,48.74,48.17,0.57,1.1833,423188.89,2082000.164
000988.SZ,20250723,48.23,48.4,47.7,48.03,48.74,-0.71,-1.4567,244267.24,1173835.302
000988.SZ,20250724,48.76,48.87,47.6,48.07,48.03,0.04,0.0833,288702.18,1386260.029
000988.SZ,20250725,48.08,48.17,47.41,47.85,48.07,-0.22,-0.4577,198191.09,947486.391
000988.SZ,20250728,48.77,50.83,48.58,50.42,47.85,2.57,5.371,638658.9,3187589.874
000988.SZ,20250729,50.03,51.5,49.7,51.45,50.42,1.03,2.0428,467090.76,2366416.869
000988.SZ,20250730,51.15,51.23,49.81,50.28,51.45,-1.17,-2.2741,351584.31,1772790.692
000988.SZ,20250731,50.93,52.35,50.24,50.56,50.28,0.28,0.5569,551894.81,2833623.454
000988.SZ,20250801,50.39,51.48,49.45,50.08,50.56,-0.48,-0.9494,387076.36,1948158.358
000988.SZ,20250804,49.65,50.49,49.52,50.06,50.08,-0.02,-0.0399,242658.08,1212882.788
000988.SZ,20250805,50.66,51.7,50.06,51.1,50.06,1.04,2.0775,378106.32,1920666.336
000988.SZ,20250806,50.82,51.59,50.71,51.02,51.1,-0.08,-0.1566,246442.6,1258343.379
000988.SZ,20250807,50.98,51.25,48.75,49.6,51.02,-1.42,-2.7832,463358.0,2300599.112
000988.SZ,20250808,49.44,50.12,49.21,49.43,49.6,-0.17,-0.3427,205657.98,1020467.361
000988.SZ,20250811,49.4,51.38,49.35,51.38,49.43,1.95,3.945,398480.48,2016646.246
000988.SZ,20250812,50.98,51.85,50.85,51.7,51.38,0.32,0.6228,298318.36,1531532.886
000988.SZ,20250813,51.74,53.2,51.46,53.0,51.7,1.3,2.5145,487464.97,2567370.715
000988.SZ,20250814,52.7,52.83,51.4,51.64,53.0,-1.36,-2.566,339765.41,1769924.371
000988.SZ,20250815,51.35,52.35,51.14,51.52,51.64,-0.12,-0.2324,381654.65,1969049.003
000988.SZ,20250818,51.52,52.74,51.35,52.24,51.52,0.72,1.3975,513779.59,2680410.648
000988.SZ,20250819,52.49,54.44,52.28,52.83,52.24,0.59,1.1294,539225.71,2873603.985
000988.SZ,20250820,52.05,55.28,51.08,54.78,52.83,1.95,3.6911,638800.18,3406694.308
000988.SZ,20250821,55.6,56.18,54.26,54.55,54.78,-0.23,-0.4199,589003.47,3244329.545
000988.SZ,20250822,55.02,59.64,55.02,58.63,54.55,4.08,7.4794,914498.64,5298997.964
000988.SZ,20250825,60.53,61.5,59.2,59.97,58.63,1.34,2.2855,1072224.63,6462054.023
000988.SZ,20250826,59.92,61.42,59.2,60.07,59.97,0.1,0.1668,646807.44,3899914.035
000988.SZ,20250827,60.18,63.87,60.18,60.88,60.07,0.81,1.3484,960645.68,5990321.804
000988.SZ,20250828,60.56,64.43,60.56,64.4,60.88,3.52,5.7819,1035010.61,6486904.585
000988.SZ,20250829,64.65,69.6,63.03,68.42,64.4,4.02,6.2422,1041439.01,6924848.473
000988.SZ,20250901,74.5,75.26,72.8,75.26,68.42,6.84,9.9971,1187844.07,8846792.823
000988.SZ,20250902,75.39,80.12,73.12,74.26,75.26,-1.0,-1.3287,1794694.06,13651813.724
000988.SZ,20250903,75.51,75.7,70.53,72.0,74.26,-2.26,-3.0434,1230722.65,8881459.336
000988.SZ,20250904,72.98,73.4,64.8,64.8,72.0,-7.2,-10.0,1102111.38,7427563.271
000988.SZ,20250905,64.41,67.67,62.5,67.54,64.8,2.74,4.2284,1122676.02,7321971.466
000988.SZ,20250908,66.88,67.94,64.78,66.79,67.54,-0.75,-1.1105,749779.37,4963730.957
000988.SZ,20250909,65.82,66.69,64.29,64.73,66.79,-2.06,-3.0843,499383.62,3263729.733
000988.SZ,20250910,66.0,66.95,64.59,65.7,64.73,0.97,1.4985,600369.16,3955967.241
000988.SZ,20250911,68.3,72.27,67.5,72.27,65.7,6.57,10.0,964215.0,6762914.567
000988.SZ,20250912,71.0,78.5,70.43,77.09,72.27,4.82,6.6694,1290527.59,9702370.398
000988.SZ,20250915,78.53,83.98,76.9,81.26,77.09,4.17,5.4093,1089570.45,8874802.908
